plz;ort;plz5_kba;plz5_kba_kraft3;Jahr
50667;Köln;3095;493;2020
50668;Köln;6840;953;2020
50670;Köln;7564;653;2020
50672;Köln;5828;895;2020
50674;Köln;5825;461;2020
50676;Köln;5759;408;2020
50677;Köln;4882;295;2020
50678;Köln;6634;429;2020
50679;Köln;13652;5410;2020
50733;Köln;12329;462;2020
50735;Köln;19358;4086;2020
50737;Köln;8319;337;2020
50739;Köln;12390;619;2020
50765;Köln;13750;596;2020
50767;Köln;9493;397;2020
50769;Köln;16266;791;2020
50823;Köln;10083;531;2020
50825;Köln;11865;1196;2020
50827;Köln;10883;465;2020
50829;Köln;11466;889;2020
50858;Köln;16670;2346;2020
50859;Köln;13987;883;2020
50931;Köln;6307;390;2020
50933;Köln;11694;889;2020
50935;Köln;8547;522;2020
50937;Köln;9720;396;2020
50939;Köln;7072;556;2020
50968;Köln;15451;1086;2020
50969;Köln;8572;495;2020
50996;Köln;10200;674;2020
50997;Köln;11559;623;2020
50999;Köln;12407;734;2020
51061;Köln;14645;617;2020
51063;Köln;11977;724;2020
51065;Köln;7405;244;2020
51067;Köln;11614;535;2020
51069;Köln;15495;710;2020
51103;Köln;12007;350;2020
51105;Köln;11036;406;2020
51107;Köln;14387;620;2020
51109;Köln;13627;600;2020
51143;Köln;11612;475;2020
51145;Köln;13378;541;2020
51147;Köln;13976;644;2020
51149;Köln;13203;923;2020
80331;München;4335;1002;2020
80333;München;17210;4027;2020
80335;München;5686;712;2020
80336;München;4545;525;2020
80337;München;5379;392;2020
80339;München;11419;1074;2020
80469;München;8421;567;2020
80538;München;47083;14683;2020
80539;München;5275;862;2020
80634;München;7018;301;2020
80636;München;10277;1110;2020
80637;München;8325;481;2020
80638;München;4684;281;2020
80639;München;9404;640;2020
80686;München;14170;1564;2020
80687;München;11077;1089;2020
80689;München;10809;418;2020
80796;München;5700;300;2020
80797;München;8617;429;2020
80798;München;4209;223;2020
80799;München;4294;216;2020
80801;München;3689;268;2020
80802;München;5294;819;2020
80803;München;3972;194;2020
80804;München;5493;327;2020
80805;München;7063;408;2020
80807;München;19685;2941;2020
80809;München;32075;9737;2020
80933;München;6035;154;2020
80935;München;7205;676;2020
80937;München;7106;198;2020
80939;München;17534;2466;2020
80992;München;12984;1313;2020
80993;München;7289;407;2020
80995;München;13508;1033;2020
80997;München;12374;624;2020
80999;München;8984;474;2020
81241;München;10217;582;2020
81243;München;9190;412;2020
81245;München;14052;715;2020
81247;München;9161;467;2020
81248;München;256;11;2020
81249;München;10733;658;2020
81369;München;10285;526;2020
81371;München;8306;357;2020
81373;München;9766;489;2020
81375;München;10102;465;2020
81377;München;11122;597;2020
81379;München;24302;2983;2020
81475;München;6425;206;2020
81476;München;7320;380;2020
81477;München;7893;474;2020
81479;München;9361;497;2020
81539;München;8944;456;2020
81541;München;10161;700;2020
81543;München;6913;312;2020
81545;München;7592;452;2020
81547;München;6794;338;2020
81549;München;10611;517;2020
81667;München;5999;361;2020
81669;München;6376;538;2020
81671;München;7480;582;2020
81673;München;13051;1549;2020
81675;München;6282;793;2020
81677;München;6598;619;2020
81679;München;4974;373;2020
81735;München;9369;336;2020
81737;München;12491;721;2020
81739;München;12706;1026;2020
81825;München;14258;896;2020
81827;München;13333;801;2020
81829;München;12864;1553;2020
81925;München;11607;1015;2020
81927;München;11702;518;2020
81929;München;8058;399;2020
